Designator,Mid X,Mid Y,Rotation,Layer
R74,162.031515,45.691735,180.0,bottom
R76,162.723515,88.413735,180.0,bottom
R78,170.94,38.21,0.0,bottom
R8,10.51,9.87,90.0,top
R80,207.371515,45.825735,180.0,bottom
R82,216.28,49.36,180.0,bottom
R84,-13.0625,77.9775,90.0,top
R85,-10.1125,77.9775,90.0,top
R86,-7.1625,77.9775,90.0,top
R87,-23.2925,83.3075,180.0,top
R88,-23.2925,86.2575,180.0,top
R89,-23.2925,89.2075,180.0,top
R9,17.9125,38.68,270.0,bottom
R90,-23.21,92.3075,180.0,top
R91,-8.5425,91.8675,0.0,top
R92,-8.5425,88.9175,0.0,top
R93,-8.5425,85.9675,0.0,top
R94,-8.4825,82.6275,0.0,top
R95,141.061428,39.17,90.0,bottom
R96,137.521428,39.09,90.0,bottom
R97,115.461428,31.92,180.0,bottom
R98,136.671428,29.61,270.0,bottom
R99,115.461428,34.18,180.0,bottom
U1,6.4625,35.4625,270.0,bottom
U10,55.22,52.74,90.0,top
U11,80.01,53.48,90.0,top
U12,107.55,53.12,90.0,top
U13,138.77,68.85325,180.0,bottom
U14,134.77,86.63,90.0,bottom
U15,122.0725,80.13325,0.0,bottom
U16,122.0725,84.75825,0.0,bottom
U17,177.814,86.952,0.0,top
U18,199.998,86.982,0.0,top
U19,221.814,87.182,0.0,top
U2,5.84,25.54,90.0,bottom
U20,154.95,64.65,0.0,top
U21,178.568,64.196,0.0,top
U22,200.06,64.284,0.0,top
U23,221.934,64.078,0.0,top
U24,155.024,41.146,0.0,top
U25,155.716,86.718,0.0,top
U26,178.354,40.946,0.0,top
U27,200.364,41.18,0.0,top
U28,222.194,41.046,0.0,top
U29,-16.517032,91.9775,0.0,top
U3,19.0725,30.5,270.0,bottom
U30,139.921428,34.81825,0.0,bottom
U31,125.206428,37.35,90.0,bottom
U4,29.0125,38.78,90.0,bottom
U5,-23.17,24.985,180.0,top
U6,29.435,61.785,0.0,top
U7,107.41,67.02,270.0,top
U8,79.99,67.59,270.0,top
U9,55.7,67.54,270.0,top
Y1,32.4325,33.65,180.0,bottom
Y2,141.631428,51.28,90.0,bottom
